ticker,manager_count,managers,company,price,avg_portfolio_pct,max_portfolio_pct,portfolio_pct_std,total_shares,market_cap,cap_category,sector,industry,total_position_value,conviction_score,consistency_score,market_cap_display
MSFT,35,"AKO Capital, AltaRock Partners, Bill & Melinda Gates Foundation Trust, Chase Coleman - Tiger Global Management, Chris Hohn - TCI Fund Management, Christopher Davis - Davis Advisors, Daniel Loeb - Third Point, David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, David Tepper - Appaloosa Management",,0.0,5.41,25.55,6.21,0,0,Unknown,Information Technology,Unknown,0.0,128.6,0.75,N/A
GOOGL,30,"AltaRock Partners, Bill Ackman - Pershing Square Capital Management, Bill Nygren - Oakmark Select Fund, Chase Coleman - Tiger Global Management, Chris Hohn - TCI Fund Management, Christopher Davis - Davis Advisors, David Abrams - Abrams Capital Management, David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, Dodge & Cox",,0.0,3.91,17.78,3.77,0,0,Unknown,Technology,Unknown,0.0,106.71,0.82,N/A
GOOG,26,"Bill Ackman - Pershing Square Capital Management, Bryan Lawrence - Oakcliff Capital, Chris Hohn - TCI Fund Management, Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, David Tepper - Appaloosa Management, Dodge & Cox, Duan Yongping - H&H International Investment, First Eagle Investment Management, Francis Chou - Chou Associates",,0.0,5.05,17.31,4.38,0,0,Unknown,Technology,Unknown,0.0,96.76,0.94,N/A
META,24,"Chase Coleman - Tiger Global Management, Christopher Davis - Davis Advisors, David Abrams - Abrams Capital Management, David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, David Tepper - Appaloosa Management, Dodge & Cox, First Eagle Investment Management, Francois Rochon - Giverny Capital, John Armitage - Egerton Capital",,0.0,6.5,18.19,4.91,0,0,Unknown,Technology,Unknown,0.0,94.1,1.1,N/A
AMZN,24,"AKO Capital, AltaRock Partners, Chase Coleman - Tiger Global Management, Christopher Davis - Davis Advisors, Daniel Loeb - Third Point, David Katz - Matrix Asset Advisors, David Tepper - Appaloosa Management, Dodge & Cox, Glenn Greenberg - Brave Warrior Advisors, John Armitage - Egerton Capital",,0.0,6.19,21.34,5.46,0,0,Unknown,Consumer Discretionary,Unknown,0.0,95.05,0.96,N/A
V,24,"AKO Capital, AltaRock Partners, Chris Hohn - TCI Fund Management, Chuck Akre - Akre Capital Management, David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, Francois Rochon - Giverny Capital, Glenn Greenberg - Brave Warrior Advisors, John Armitage - Egerton Capital, Lindsell Train",,0.0,4.7,13.44,3.57,0,0,Unknown,Services,Unknown,0.0,88.12,1.03,N/A
BRK.B,20,"Bill & Melinda Gates Foundation Trust, Bruce Berkowitz - Fairholme Capital, Christopher Bloomstran - Semper Augustus, Christopher Davis - Davis Advisors, Chuck Akre - Akre Capital Management, David Katz - Matrix Asset Advisors, Duan Yongping - H&H International Investment, First Eagle Investment Management, Francois Rochon - Giverny Capital, Greenhaven Associates",,0.0,7.45,25.5,8.55,0,0,Unknown,Financials,Unknown,0.0,87.65,0.78,N/A
COF,18,"Bill Nygren - Oakmark Select Fund, Christopher Davis - Davis Advisors, Clifford Sosin - CAS Investment Partners, Daniel Loeb - Third Point, David Katz - Matrix Asset Advisors, Dodge & Cox, Francois Rochon - Giverny Capital, Glenn Greenberg - Brave Warrior Advisors, Harry Burn - Sound Shore, John Armitage - Egerton Capital",,0.0,3.0,9.3,2.7,0,0,Unknown,Financials,Unknown,0.0,64.65,0.81,N/A
AAPL,17,"Bruce Berkowitz - Fairholme Capital, Christopher Bloomstran - Semper Augustus, David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, Duan Yongping - H&H International Investment, Francis Chou - Chou Associates, Francois Rochon - Giverny Capital, Jensen Investment Management, Kahn Brothers Group, Li Lu - Himalaya Capital Management",,0.0,7.35,63.33,15.67,0,0,Unknown,Technology,Unknown,0.0,97.36,0.44,N/A
UNH,17,"Chase Coleman - Tiger Global Management, Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, David Tepper - Appaloosa Management, Dodge & Cox, First Eagle Investment Management, Glenn Greenberg - Brave Warrior Advisors, Jensen Investment Management, Lee Ainslie - Maverick Capital",,0.0,1.76,5.93,1.75,0,0,Unknown,Health Care,Unknown,0.0,57.48,0.64,N/A
TSM,16,"Chase Coleman - Tiger Global Management, Daniel Loeb - Third Point, David Rolfe - Wedgewood Partners, David Tepper - Appaloosa Management, Dodge & Cox, Duan Yongping - H&H International Investment, First Eagle Investment Management, Francois Rochon - Giverny Capital, Jensen Investment Management, Lee Ainslie - Maverick Capital",,0.0,2.62,9.29,2.49,0,0,Unknown,Technology,Unknown,0.0,57.89,0.75,N/A
MA,16,"AltaRock Partners, Chuck Akre - Akre Capital Management, Francois Rochon - Giverny Capital, Glenn Greenberg - Brave Warrior Advisors, Guy Spier - Aquamarine Capital, Jensen Investment Management, John Armitage - Egerton Capital, Polen Capital Management, Terry Smith - Fundsmith, Thomas Gayner - Markel Group",,0.0,5.32,18.54,6.24,0,0,Unknown,Services,Unknown,0.0,67.91,0.73,N/A
BAC,15,"Charles Bobrinskoy - Ariel Focus Fund, Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, Dodge & Cox, Francis Chou - Chou Associates, Francois Rochon - Giverny Capital, Glenn Greenberg - Brave Warrior Advisors, Guy Spier - Aquamarine Capital, Kahn Brothers Group, Lee Ainslie - Maverick Capital",,0.0,4.44,26.12,6.92,0,0,Unknown,Financials,Unknown,0.0,66.94,0.56,N/A
MCO,14,"AKO Capital, AltaRock Partners, Chris Hohn - TCI Fund Management, Chuck Akre - Akre Capital Management, Francis Chou - Chou Associates, Glenn Greenberg - Brave Warrior Advisors, Guy Spier - Aquamarine Capital, Lee Ainslie - Maverick Capital, Thomas Gayner - Markel Group, Triple Frond Partners",,0.0,5.04,14.13,5.04,0,0,Unknown,Financials,Unknown,0.0,59.14,0.83,N/A
BRK.A,14,"Bruce Berkowitz - Fairholme Capital, Christopher Bloomstran - Semper Augustus, Christopher Davis - Davis Advisors, First Eagle Investment Management, Francis Chou - Chou Associates, Francois Rochon - Giverny Capital, Guy Spier - Aquamarine Capital, Josh Tarasoff - Greenlea Lane Capital, Norbert Lou - Punch Card Management, Prem Watsa - Fairfax Financial Holdings",,0.0,12.16,53.44,15.71,0,0,Unknown,Financials,Unknown,0.0,93.04,0.73,N/A
WFC,14,"Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, Dodge & Cox, Francis Chou - Chou Associates, Harry Burn - Sound Shore, Mairs & Power Growth Fund, Richard Pzena - Hancock Classic Value, Robert Olstein - Olstein Capital Management, Steven Romick - FPA Crescent Fund, Thomas Gayner - Markel Group",,0.0,1.89,4.08,1.46,0,0,Unknown,Financials,Unknown,0.0,47.82,0.77,N/A
DIS,13,"Christopher Bloomstran - Semper Augustus, Duan Yongping - H&H International Investment, First Eagle Investment Management, Francois Rochon - Giverny Capital, Harry Burn - Sound Shore, Hillman Value Fund, Kahn Brothers Group, Lindsell Train, Robert Olstein - Olstein Capital Management, Thomas Gayner - Markel Group",,0.0,5.17,17.59,5.67,0,0,Unknown,Consumer Discretionary,Unknown,0.0,58.14,0.78,N/A
JPM,12,"Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, Francois Rochon - Giverny Capital, Glenn Greenberg - Brave Warrior Advisors, Greenhaven Associates, Kahn Brothers Group, Mairs & Power Growth Fund, Samantha McLemore - Patient Capital Management, Thomas Gayner - Markel Group, Thomas Russo - Gardner Russo & Quinn",,0.0,1.59,5.9,1.85,0,0,Unknown,Financials,Unknown,0.0,42.13,0.56,N/A
SCHW,12,"Bill Nygren - Oakmark Select Fund, Christopher Davis - Davis Advisors, Dodge & Cox, Francois Rochon - Giverny Capital, Greenhaven Associates, John Rogers - Ariel Appreciation Fund, Lee Ainslie - Maverick Capital, Mairs & Power Growth Fund, Ruane Cunniff - Sequoia Fund, Thomas Gayner - Markel Group",,0.0,2.84,6.0,2.22,0,0,Unknown,Financials,Unknown,0.0,44.68,0.88,N/A
CHTR,11,"Bill Nygren - Oakmark Select Fund, Bryan Lawrence - Oakcliff Capital, Dodge & Cox, First Eagle Investment Management, Richard Pzena - Hancock Classic Value, Ruane Cunniff - Sequoia Fund, Steven Romick - FPA Crescent Fund, Tom Bancroft - Makaira Partners, Triple Frond Partners, Wallace Weitz - Weitz Large Cap Equity Fund",,0.0,5.07,24.73,7.0,0,0,Unknown,Services,Unknown,0.0,55.5,0.63,N/A
ORCL,11,"Charles Bobrinskoy - Ariel Focus Fund, Christopher Davis - Davis Advisors, David Tepper - Appaloosa Management, First Eagle Investment Management, Jensen Investment Management, Lindsell Train, Polen Capital Management, Thomas Russo - Gardner Russo & Quinn, Wallace Weitz - Weitz Large Cap Equity Fund, William Von Mueffling - Cantillon Capital Management",,0.0,1.72,5.54,1.94,0,0,Unknown,Information Technology,Unknown,0.0,39.21,0.59,N/A
INTU,10,"AKO Capital, David Katz - Matrix Asset Advisors, Dennis Hong - ShawSpring Partners, Jensen Investment Management, Lindsell Train, Stephen Mandel - Lone Pine Capital, Terry Smith - Fundsmith, Thomas Gayner - Markel Group, Valley Forge Capital Management, Viking Global Investors",,0.0,5.23,14.08,4.94,0,0,Unknown,Information Technology,Unknown,0.0,47.5,0.88,N/A
CMCSA,10,"David Katz - Matrix Asset Advisors, Dodge & Cox, First Eagle Investment Management, Glenn Greenberg - Brave Warrior Advisors, Hillman Value Fund, Robert Olstein - Olstein Capital Management, Steven Romick - FPA Crescent Fund, Thomas Gayner - Markel Group, Thomas Russo - Gardner Russo & Quinn, Yacktman Asset Management",,0.0,1.83,4.57,1.44,0,0,Unknown,Consumer Discretionary,Unknown,0.0,35.94,0.75,N/A
EFX,10,"AKO Capital, Bill Nygren - Oakmark Select Fund, Jensen Investment Management, Lindsell Train, Robert Olstein - Olstein Capital Management, Terry Smith - Fundsmith, Thomas Gayner - Markel Group, Valley Forge Capital Management, Wallace Weitz - Weitz Large Cap Equity Fund, William Von Mueffling - Cantillon Capital Management",,0.0,1.85,4.36,1.66,0,0,Unknown,Industrials,Unknown,0.0,35.88,0.7,N/A
AXP,10,"Christopher Bloomstran - Semper Augustus, Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, First Eagle Investment Management, Guy Spier - Aquamarine Capital, Lindsell Train, Thomas Gayner - Markel Group, Thomas Russo - Gardner Russo & Quinn, Torray Funds, Warren Buffett - Berkshire Hathaway",,0.0,4.05,19.24,7.17,0,0,Unknown,Financials,Unknown,0.0,47.72,0.5,N/A
JNJ,10,"Charles Bobrinskoy - Ariel Focus Fund, David Katz - Matrix Asset Advisors, Jensen Investment Management, Mairs & Power Growth Fund, Prem Watsa - Fairfax Financial Holdings, Robert Olstein - Olstein Capital Management, Thomas Gayner - Markel Group, Torray Funds, Tweedy Browne Co. - Tweedy Browne Value Fund, Yacktman Asset Management",,0.0,1.79,3.86,1.19,0,0,Unknown,Health Care,Unknown,0.0,35.51,0.82,N/A
PM,9,"David Katz - Matrix Asset Advisors, First Eagle Investment Management, Lee Ainslie - Maverick Capital, Stephen Mandel - Lone Pine Capital, Terry Smith - Fundsmith, Thomas Gayner - Markel Group, Thomas Russo - Gardner Russo & Quinn, Viking Global Investors, Yacktman Asset Management",,0.0,3.35,8.93,3.32,0,0,Unknown,Consumer Staples,Unknown,0.0,38.17,0.78,N/A
NVDA,9,"Chase Coleman - Tiger Global Management, Daniel Loeb - Third Point, David Katz - Matrix Asset Advisors, David Tepper - Appaloosa Management, Duan Yongping - H&H International Investment, Lee Ainslie - Maverick Capital, Mairs & Power Growth Fund, Samantha McLemore - Patient Capital Management, Viking Global Investors",,0.0,2.97,7.19,2.43,0,0,Unknown,Information Technology,Unknown,0.0,36.53,0.87,N/A
PEP,9,"David Katz - Matrix Asset Advisors, First Eagle Investment Management, Jensen Investment Management, Kahn Brothers Group, Lindsell Train, Robert Olstein - Olstein Capital Management, Thomas Gayner - Markel Group, Thomas Russo - Gardner Russo & Quinn, Yacktman Asset Management",,0.0,2.14,10.18,3.33,0,0,Unknown,Consumer Staples,Unknown,0.0,36.37,0.49,N/A
FLUT,9,"AKO Capital, Chase Coleman - Tiger Global Management, Daniel Loeb - Third Point, John Armitage - Egerton Capital, Lee Ainslie - Maverick Capital, Stephen Mandel - Lone Pine Capital, Tom Bancroft - Makaira Partners, Viking Global Investors, William Von Mueffling - Cantillon Capital Management",,0.0,4.17,7.91,2.4,0,0,Unknown,Consumer Cyclical,Unknown,0.0,39.3,1.23,N/A
NKE,9,"Christopher Bloomstran - Semper Augustus, Hillman Value Fund, Jensen Investment Management, Lindsell Train, Polen Capital Management, Robert Olstein - Olstein Capital Management, Terry Smith - Fundsmith, Thomas Gayner - Markel Group, Viking Global Investors",,0.0,7.03,54.37,17.77,0,0,Unknown,Consumer Discretionary,Unknown,0.0,68.24,0.37,N/A
PYPL,9,"David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, Francis Chou - Chou Associates, Harry Burn - Sound Shore, Lee Ainslie - Maverick Capital, Lindsell Train, Mason Hawkins - Longleaf Partners, Pat Dorsey - Dorsey Asset Management, Polen Capital Management",,0.0,7.02,33.57,10.29,0,0,Unknown,Financials,Unknown,0.0,57.82,0.62,N/A
AON,9,"David Katz - Matrix Asset Advisors, Jensen Investment Management, Polen Capital Management, Steven Romick - FPA Crescent Fund, Thomas Gayner - Markel Group, Wallace Weitz - Weitz Large Cap Equity Fund, Warren Buffett - Berkshire Hathaway, William Von Mueffling - Cantillon Capital Management, Yacktman Asset Management",,0.0,1.75,4.02,1.81,0,0,Unknown,Financials,Unknown,0.0,32.51,0.62,N/A
KMX,9,"Chuck Akre - Akre Capital Management, Francois Rochon - Giverny Capital, Hillman Value Fund, John Rogers - Ariel Appreciation Fund, Lee Ainslie - Maverick Capital, Steven Romick - FPA Crescent Fund, Thomas Gayner - Markel Group, Tom Bancroft - Makaira Partners, Wallace Weitz - Weitz Large Cap Equity Fund",,0.0,2.58,7.11,2.35,0,0,Unknown,Consumer Discretionary,Unknown,0.0,35.71,0.77,N/A
CRM,8,"AKO Capital, First Eagle Investment Management, Hillman Value Fund, Mairs & Power Growth Fund, Polen Capital Management, Stephen Mandel - Lone Pine Capital, ValueAct Capital, Wallace Weitz - Weitz Large Cap Equity Fund",,0.0,3.73,16.98,5.51,0,0,Unknown,Technology,Unknown,0.0,39.95,0.57,N/A
DHR,8,"Bill & Melinda Gates Foundation Trust, Chuck Akre - Akre Capital Management, David Katz - Matrix Asset Advisors, Lee Ainslie - Maverick Capital, Pat Dorsey - Dorsey Asset Management, Torray Funds, Viking Global Investors, Wallace Weitz - Weitz Large Cap Equity Fund",,0.0,3.53,15.02,5.18,0,0,Unknown,Industrials,Unknown,0.0,38.57,0.57,N/A
CVS,8,"Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, Dodge & Cox, Hillman Value Fund, Prem Watsa - Fairfax Financial Holdings, Richard Pzena - Hancock Classic Value, Robert Olstein - Olstein Capital Management, Samantha McLemore - Patient Capital Management",,0.0,3.94,9.96,2.99,0,0,Unknown,Consumer Staples,Unknown,0.0,36.86,0.99,N/A
ICE,8,"AKO Capital, Bill Nygren - Oakmark Select Fund, Daniel Loeb - Third Point, John Armitage - Egerton Capital, Ruane Cunniff - Sequoia Fund, Thomas Gayner - Markel Group, Viking Global Investors, William Von Mueffling - Cantillon Capital Management",,0.0,3.28,5.31,1.89,0,0,Unknown,Financials,Unknown,0.0,33.21,1.13,N/A
TMO,8,"AKO Capital, David Katz - Matrix Asset Advisors, Lindsell Train, Polen Capital Management, Thomas Gayner - Markel Group, Torray Funds, Wallace Weitz - Weitz Large Cap Equity Fund, William Von Mueffling - Cantillon Capital Management",,0.0,2.65,7.01,2.38,0,0,Unknown,Health Care,Unknown,0.0,32.8,0.78,N/A
SBUX,8,"Christopher Bloomstran - Semper Augustus, David Katz - Matrix Asset Advisors, Francois Rochon - Giverny Capital, Jensen Investment Management, Lee Ainslie - Maverick Capital, Polen Capital Management, Stephen Mandel - Lone Pine Capital, Thomas Gayner - Markel Group",,0.0,1.99,5.68,1.97,0,0,Unknown,Consumer Discretionary,Unknown,0.0,30.82,0.67,N/A
SPGI,8,"Chris Hohn - TCI Fund Management, David Rolfe - Wedgewood Partners, Glenn Greenberg - Brave Warrior Advisors, Lindsell Train, Robert Olstein - Olstein Capital Management, Thomas Gayner - Markel Group, Valley Forge Capital Management, William Von Mueffling - Cantillon Capital Management",,0.0,5.48,20.32,7.26,0,0,Unknown,Consumer Discretionary,Unknown,0.0,45.12,0.66,N/A
BMY,8,"Bill Miller - Miller Value Partners, David Katz - Matrix Asset Advisors, Dodge & Cox, Harry Burn - Sound Shore, Hillman Value Fund, Jensen Investment Management, Kahn Brothers Group, Richard Pzena - Hancock Classic Value",,0.0,2.47,7.37,2.41,0,0,Unknown,Health Care,Unknown,0.0,32.62,0.72,N/A
TXN,8,"Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, First Eagle Investment Management, Jensen Investment Management, Robert Olstein - Olstein Capital Management, Terry Smith - Fundsmith, Thomas Gayner - Markel Group, Torray Funds",,0.0,1.87,2.71,0.7,0,0,Unknown,Information Technology,Unknown,0.0,29.1,1.1,N/A
GM,7,"Francis Chou - Chou Associates, Greenhaven Associates, Harry Burn - Sound Shore, Prem Watsa - Fairfax Financial Holdings, Robert Olstein - Olstein Capital Management, Samantha McLemore - Patient Capital Management, Viking Global Investors",,0.0,3.96,17.77,6.16,0,0,Unknown,Consumer Discretionary,Unknown,0.0,37.8,0.55,N/A
KHC,7,"Bill & Melinda Gates Foundation Trust, First Eagle Investment Management, Hillman Value Fund, Mairs & Power Growth Fund, Mason Hawkins - Longleaf Partners, Prem Watsa - Fairfax Financial Holdings, Warren Buffett - Berkshire Hathaway",,0.0,2.8,5.67,2.32,0,0,Unknown,Consumer Staples,Unknown,0.0,29.44,0.84,N/A
UBER,7,"Bill Ackman - Pershing Square Capital Management, Chase Coleman - Tiger Global Management, David Tepper - Appaloosa Management, Steven Romick - FPA Crescent Fund, Thomas Gayner - Markel Group, Thomas Russo - Gardner Russo & Quinn, William Von Mueffling - Cantillon Capital Management",,0.0,4.28,18.5,6.48,0,0,Unknown,Technology,Unknown,0.0,38.81,0.57,N/A
OXY,7,"Bruce Berkowitz - Fairholme Capital, Dodge & Cox, Duan Yongping - H&H International Investment, Francis Chou - Chou Associates, Li Lu - Himalaya Capital Management, Prem Watsa - Fairfax Financial Holdings, Warren Buffett - Berkshire Hathaway",,0.0,4.94,16.12,5.27,0,0,Unknown,Energy,Unknown,0.0,38.94,0.79,N/A
C,7,"Francis Chou - Chou Associates, Greenhaven Associates, Harry Burn - Sound Shore, Kahn Brothers Group, Richard Pzena - Hancock Classic Value, Samantha McLemore - Patient Capital Management, Steven Romick - FPA Crescent Fund",,0.0,7.3,18.8,6.08,0,0,Unknown,Financials,Unknown,0.0,45.0,1.03,N/A
ASML,7,"David Tepper - Appaloosa Management, Hillman Value Fund, Pat Dorsey - Dorsey Asset Management, Polen Capital Management, Stephen Mandel - Lone Pine Capital, Triple Frond Partners, Valley Forge Capital Management",,0.0,2.99,7.1,2.42,0,0,Unknown,Technology,Unknown,0.0,30.53,0.87,N/A
LPLA,7,"Daniel Loeb - Third Point, John Armitage - Egerton Capital, Lee Ainslie - Maverick Capital, Meridian Contrarian Fund, Stephen Mandel - Lone Pine Capital, Steven Romick - FPA Crescent Fund, Thomas Gayner - Markel Group",,0.0,2.8,5.06,1.19,0,0,Unknown,Financials,Unknown,0.0,29.13,1.28,N/A
