ticker,manager_count,managers,total_shares,total_value,avg_portfolio_pct,max_portfolio_pct,portfolio_pct_std,earliest_report_date,latest_report_date
MSFT,36,"Leon Cooperman, Lone Pine Capital, Brave Warrior Advisors, Maverick Capital, Appaloosa Management, Third Point, Bill & Melinda Gates Foundation Trust, H&H International Investment, Viking Global Investors, Wedgewood Partners",86416534,32446100000.0,0.0,0,0.0,2025-07-07,2025-07-07
GOOGL,30,"Oakmark Select Fund, Sequoia Fund, Leon Cooperman, Brave Warrior Advisors, Himalaya Capital Management, Pershing Square Capital Management, Wedgewood Partners, Tiger Global Management, TCI Fund Management, Fundsmith",65572848,10143192000.0,0.0,0,0.0,2025-07-07,2025-07-07
GOOG,27,"Brave Warrior Advisors, Himalaya Capital Management, Appaloosa Management, H&H International Investment, Pershing Square Capital Management, Chou Associates, TCI Fund Management, Dorsey Asset Management, Oakcliff Capital, Causeway Capital Management",68247812,10662354000.0,0.0,0,0.0,2025-07-07,2025-07-07
META,25,"Sequoia Fund, Lone Pine Capital, Maverick Capital, Appaloosa Management, ValueAct Capital, Viking Global Investors, Wedgewood Partners, Tiger Global Management, Dorsey Asset Management, Fundsmith",27775521,16014473000.0,0.0,0,0.0,2025-07-07,2025-07-07
V,24,"Brave Warrior Advisors, ValueAct Capital, Valley Forge Capital Management, Berkshire Hathaway, Viking Global Investors, Wedgewood Partners, TCI Fund Management, Fundsmith, Lindsell Train, AltaRock Partners",50479293,17691509000.0,0.0,0,0.0,2025-07-07,2025-07-07
AMZN,24,"Lone Pine Capital, Brave Warrior Advisors, Maverick Capital, Appaloosa Management, Third Point, ValueAct Capital, Berkshire Hathaway, Viking Global Investors, Tiger Global Management, AltaRock Partners",80536827,15322936000.0,0.0,0,0.0,2025-07-07,2025-07-07
BRK.B,20,"Sequoia Fund, Himalaya Capital Management, Bill & Melinda Gates Foundation Trust, Semper Augustus, H&H International Investment, Fairholme Capital, Akre Capital Management, Gardner Russo & Quinn, Giverny Capital, First Eagle Investment Management",26538565,14133908000.0,0.0,0,0.0,2025-07-07,2025-07-07
AAPL,18,"Himalaya Capital Management, Semper Augustus, H&H International Investment, Fairholme Capital, Berkshire Hathaway, Chou Associates, Wedgewood Partners, Kahn Brothers Group, Causeway Capital Management, Gardner Russo & Quinn",342501904,76078331000.0,0.0,0,0.0,2025-07-07,2025-07-07
COF,18,"Oakmark Select Fund, Sequoia Fund, Lone Pine Capital, Brave Warrior Advisors, Maverick Capital, Third Point, CAS Investment Partners, Berkshire Hathaway, Viking Global Investors, Kahn Brothers Group",43023084,7714039000.0,0.0,0,0.0,2025-07-07,2025-07-07
TSM,17,"Sequoia Fund, Lone Pine Capital, Maverick Capital, Appaloosa Management, Third Point, H&H International Investment, Viking Global Investors, Wedgewood Partners, Tiger Global Management, Fairfax Financial Holdings",43111845,4981038000.0,0.0,0,0.0,2025-07-07,2025-07-07
UNH,17,"Sequoia Fund, Brave Warrior Advisors, Maverick Capital, Appaloosa Management, Viking Global Investors, Wedgewood Partners, Tiger Global Management, Polen Capital Management, First Eagle Investment Management, Davis Advisors",8376248,4384837000.0,0.0,0,0.0,2025-07-07,2025-07-07
MA,16,"Brave Warrior Advisors, Valley Forge Capital Management, Berkshire Hathaway, Fundsmith, AltaRock Partners, Akre Capital Management, Gardner Russo & Quinn, Giverny Capital, Polen Capital Management, Jensen Investment Management",15824119,8673517000.0,0.0,0,0.0,2025-07-07,2025-07-07
BAC,15,"Ariel Focus Fund, Brave Warrior Advisors, Maverick Capital, Himalaya Capital Management, Berkshire Hathaway, Chou Associates, Viking Global Investors, Kahn Brothers Group, Giverny Capital, Davis Advisors",699727705,29199640000.0,0.0,0,0.0,2025-07-07,2025-07-07
MCO,14,"Brave Warrior Advisors, Maverick Capital, Valley Forge Capital Management, Berkshire Hathaway, Chou Associates, TCI Fund Management, AltaRock Partners, AKO Capital, Triple Frond Partners, Akre Capital Management",44157906,20563895000.0,0.0,0,0.0,2025-07-07,2025-07-07
BRK.A,14,"Semper Augustus, Punch Card Management, Fairholme Capital, Chou Associates, Fairfax Financial Holdings, Gardner Russo & Quinn, Giverny Capital, Greenlea Lane Capital, First Eagle Investment Management, Davis Advisors",5739,4582256000.0,0.0,0,0.0,2025-07-07,2025-07-07
WFC,14,"Chou Associates, Gardner Russo & Quinn, Davis Advisors, Torray Funds, Sound Shore, Markel Group, Yacktman Asset Management, Matrix Asset Advisors, Tweedy Browne Value Fund, Mairs & Power Growth Fund",55569727,3989352000.0,0.0,0,0.0,2025-07-07,2025-07-07
DIS,14,"Semper Augustus, H&H International Investment, ValueAct Capital, Kahn Brothers Group, Lindsell Train, Causeway Capital Management, Gardner Russo & Quinn, Giverny Capital, First Eagle Investment Management, Sound Shore",21356243,2108423000.0,0.0,0,0.0,2025-07-07,2025-07-07
SCHW,12,"Oakmark Select Fund, Sequoia Fund, Ariel Appreciation Fund, Maverick Capital, Viking Global Investors, Giverny Capital, Davis Advisors, Markel Group, Yacktman Asset Management, Mairs & Power Growth Fund",94286584,7380755000.0,0.0,0,0.0,2025-07-07,2025-07-07
ORCL,12,"Ariel Focus Fund, Appaloosa Management, Lindsell Train, Causeway Capital Management, Gardner Russo & Quinn, Polen Capital Management, First Eagle Investment Management, Davis Advisors, Jensen Investment Management, Cantillon Capital Management",27557982,3852881000.0,0.0,0,0.0,2025-07-07,2025-07-07
JPM,12,"Brave Warrior Advisors, Viking Global Investors, Kahn Brothers Group, Patient Capital Management, Gardner Russo & Quinn, Giverny Capital, Davis Advisors, Torray Funds, Markel Group, Matrix Asset Advisors",5629436,1380902000.0,0.0,0,0.0,2025-07-07,2025-07-07
CHTR,11,"Oakmark Select Fund, Sequoia Fund, Berkshire Hathaway, Oakcliff Capital, Makaira Partners, Triple Frond Partners, First Eagle Investment Management, Weitz Large Cap Equity Fund, Hancock Classic Value, Dodge & Cox",11479882,4230683000.0,0.0,0,0.0,2025-07-07,2025-07-07
AXP,10,"Semper Augustus, Berkshire Hathaway, Lindsell Train, Gardner Russo & Quinn, First Eagle Investment Management, Davis Advisors, Torray Funds, Markel Group, Matrix Asset Advisors, Aquamarine Capital",154772823,41641629000.0,0.0,0,0.0,2025-07-07,2025-07-07
CMCSA,10,"Brave Warrior Advisors, Gardner Russo & Quinn, First Eagle Investment Management, Markel Group, Yacktman Asset Management, Matrix Asset Advisors, Dodge & Cox, FPA Crescent Fund, Olstein Capital Management, Hillman Value Fund",110173127,4065272000.0,0.0,0,0.0,2025-07-07,2025-07-07
INTU,10,"Lone Pine Capital, Valley Forge Capital Management, Viking Global Investors, ShawSpring Partners, Fundsmith, Lindsell Train, AKO Capital, Jensen Investment Management, Markel Group, Matrix Asset Advisors",5885523,3613651000.0,0.0,0,0.0,2025-07-07,2025-07-07
NVDA,10,"Maverick Capital, Appaloosa Management, Third Point, H&H International Investment, Viking Global Investors, Tiger Global Management, Causeway Capital Management, Patient Capital Management, Matrix Asset Advisors, Mairs & Power Growth Fund",26763466,2900625000.0,0.0,0,0.0,2025-07-07,2025-07-07
EFX,10,"Oakmark Select Fund, Valley Forge Capital Management, Fundsmith, Lindsell Train, AKO Capital, Jensen Investment Management, Cantillon Capital Management, Markel Group, Weitz Large Cap Equity Fund, Olstein Capital Management",5412564,1318283000.0,0.0,0,0.0,2025-07-07,2025-07-07
JNJ,10,"Ariel Focus Fund, Fairfax Financial Holdings, Jensen Investment Management, Torray Funds, Markel Group, Yacktman Asset Management, Matrix Asset Advisors, Tweedy Browne Value Fund, Mairs & Power Growth Fund, Olstein Capital Management",3322149,550948000.0,0.0,0,0.0,2025-07-07,2025-07-07
PM,9,"Lone Pine Capital, Maverick Capital, Viking Global Investors, Fundsmith, Gardner Russo & Quinn, First Eagle Investment Management, Markel Group, Yacktman Asset Management, Matrix Asset Advisors",32686616,5188347000.0,0.0,0,0.0,2025-07-07,2025-07-07
FLUT,9,"Lone Pine Capital, Maverick Capital, Third Point, Viking Global Investors, Tiger Global Management, Makaira Partners, AKO Capital, Cantillon Capital Management, Egerton Capital",16578937,3670864000.0,0.0,0,0.0,2025-07-07,2025-07-07
AON,9,"Berkshire Hathaway, Polen Capital Management, Jensen Investment Management, Cantillon Capital Management, Markel Group, Yacktman Asset Management, Weitz Large Cap Equity Fund, Matrix Asset Advisors, FPA Crescent Fund",9120796,3640020000.0,0.0,0,0.0,2025-07-07,2025-07-07
NKE,9,"Semper Augustus, Viking Global Investors, Fundsmith, Lindsell Train, Polen Capital Management, Jensen Investment Management, Markel Group, Olstein Capital Management, Hillman Value Fund",14631849,929618000.0,0.0,0,0.0,2025-07-07,2025-07-07
PEP,9,"Kahn Brothers Group, Lindsell Train, Gardner Russo & Quinn, First Eagle Investment Management, Jensen Investment Management, Markel Group, Yacktman Asset Management, Matrix Asset Advisors, Olstein Capital Management",5969076,895003000.0,0.0,0,0.0,2025-07-07,2025-07-07
PYPL,9,"Longleaf Partners, Maverick Capital, Chou Associates, Wedgewood Partners, Dorsey Asset Management, Lindsell Train, Polen Capital Management, Sound Shore, Matrix Asset Advisors",7506207,493302000.0,0.0,0,0.0,2025-07-07,2025-07-07
KMX,9,"Ariel Appreciation Fund, Maverick Capital, Makaira Partners, Akre Capital Management, Giverny Capital, Markel Group, Weitz Large Cap Equity Fund, FPA Crescent Fund, Hillman Value Fund",4572381,356524000.0,0.0,0,0.0,2025-07-07,2025-07-07
SPGI,8,"Brave Warrior Advisors, Valley Forge Capital Management, Wedgewood Partners, TCI Fund Management, Lindsell Train, Cantillon Capital Management, Markel Group, Olstein Capital Management",14125613,7177355000.0,0.0,0,0.0,2025-07-07,2025-07-07
CVS,8,"Fairfax Financial Holdings, Patient Capital Management, Davis Advisors, Matrix Asset Advisors, Hancock Classic Value, Dodge & Cox, Olstein Capital Management, Hillman Value Fund",64518025,4370996000.0,0.0,0,0.0,2025-07-07,2025-07-07
ICE,8,"Oakmark Select Fund, Sequoia Fund, Third Point, Viking Global Investors, AKO Capital, Cantillon Capital Management, Egerton Capital, Markel Group",14064297,2426092000.0,0.0,0,0.0,2025-07-07,2025-07-07
TMO,8,"Lindsell Train, AKO Capital, Polen Capital Management, Cantillon Capital Management, Torray Funds, Markel Group, Weitz Large Cap Equity Fund, Matrix Asset Advisors",4202005,2090918000.0,0.0,0,0.0,2025-07-07,2025-07-07
CRM,8,"Lone Pine Capital, ValueAct Capital, AKO Capital, Polen Capital Management, First Eagle Investment Management, Weitz Large Cap Equity Fund, Mairs & Power Growth Fund, Hillman Value Fund",7600371,2040028000.0,0.0,0,0.0,2025-07-07,2025-07-07
TXN,8,"Fundsmith, First Eagle Investment Management, Davis Advisors, Jensen Investment Management, Torray Funds, Markel Group, Matrix Asset Advisors, Olstein Capital Management",10904374,1959515000.0,0.0,0,0.0,2025-07-07,2025-07-07
ADI,8,"Causeway Capital Management, AKO Capital, Giverny Capital, First Eagle Investment Management, Cantillon Capital Management, Markel Group, Weitz Large Cap Equity Fund, FPA Crescent Fund",9593542,1934729000.0,0.0,0,0.0,2025-07-07,2025-07-07
C,8,"Chou Associates, Kahn Brothers Group, Causeway Capital Management, Patient Capital Management, Sound Shore, Hancock Classic Value, FPA Crescent Fund, Greenhaven Associates",25845433,1834768000.0,0.0,0,0.0,2025-07-07,2025-07-07
SBUX,8,"Lone Pine Capital, Maverick Capital, Semper Augustus, Giverny Capital, Polen Capital Management, Jensen Investment Management, Markel Group, Matrix Asset Advisors",13525892,1326755000.0,0.0,0,0.0,2025-07-07,2025-07-07
DHR,8,"Maverick Capital, Bill & Melinda Gates Foundation Trust, Viking Global Investors, Dorsey Asset Management, Akre Capital Management, Torray Funds, Weitz Large Cap Equity Fund, Matrix Asset Advisors",4263539,874026000.0,0.0,0,0.0,2025-07-07,2025-07-07
BMY,8,"Kahn Brothers Group, Miller Value Partners, Jensen Investment Management, Sound Shore, Matrix Asset Advisors, Hancock Classic Value, Dodge & Cox, Hillman Value Fund",11977566,730417000.0,0.0,0,0.0,2025-07-07,2025-07-07
OXY,7,"Himalaya Capital Management, H&H International Investment, Fairholme Capital, Berkshire Hathaway, Chou Associates, Fairfax Financial Holdings, Dodge & Cox",341073689,16835637000.0,0.0,0,0.0,2025-07-07,2025-07-07
KHC,7,"Longleaf Partners, Bill & Melinda Gates Foundation Trust, Berkshire Hathaway, Fairfax Financial Holdings, First Eagle Investment Management, Mairs & Power Growth Fund, Hillman Value Fund",340371836,10357520000.0,0.0,0,0.0,2025-07-07,2025-07-07
CP,7,"Maverick Capital, Pershing Square Capital Management, TCI Fund Management, Lindsell Train, Causeway Capital Management, Cantillon Capital Management, Egerton Capital",94720287,6648802000.0,0.0,0,0.0,2025-07-07,2025-07-07
FI,7,"Leon Cooperman, Giverny Capital, Torray Funds, Egerton Capital, Mairs & Power Growth Fund, Dodge & Cox, Olstein Capital Management",25357654,5599731000.0,0.0,0,0.0,2025-07-07,2025-07-07
LLY,7,"Lone Pine Capital, Tiger Global Management, Polen Capital Management, Torray Funds, Egerton Capital, Matrix Asset Advisors, Mairs & Power Growth Fund",4287443,3541042000.0,0.0,0,0.0,2025-07-07,2025-07-07
